advisor,code,data_source,latest_cum_nav,latest_date,month_return,name,source_type,stat_end_cum_nav,stat_end_date,stat_end_used_date,status,strategy,strategy_detail,week_return,ytd_return
-,SATW62,api,2.0071,2026-04-24,0.07763758389261732,顽岩量化选股1号,,2.0071,2026-04-24,2026-04-24,正常,量选类,量化选股,0.011388259007306667,0.16414361115944542
-,SARD76,api,1.3435,2026-04-24,0.01618637016867086,正仁股票择时一期,,1.3435,2026-04-24,2026-04-24,正常,量选类,股票择时,-0.0031903843300193913,0.057624183263795814
-,SXG834,api,1.6582,2026-04-24,0.11393255407765679,正仁双创择时一号,,1.6582,2026-04-24,2026-04-24,正常,风格类,双创择时,-0.0028863499699339767,0.1312593805430482
-,SZC020,fallback,2.597,2026-03-20,0.0,瀚鑫纸鸢量化优选,,2.597,2026-04-24,2026-03-20,正常,风格类,微盘择时,0.0,-0.003071017274472121
-,SAJJ91,api,2.0035,2026-04-24,0.068875373452838,积沐领航者,,2.0035,2026-04-24,2026-04-24,正常,风格类,1000指增,-0.006298978275964817,0.12121551289943477
-,SBCA75,api,1.2183,2026-04-24,0.08014894937494454,太衍光年中证2000指数增强2号,,1.2183,2026-04-24,2026-04-24,正常,风格类,2000指增T0,-0.0035170947161785593,0.15009912206173892
-,SSV122,fallback,1.4031,2026-03-20,0.0,时间序列红利增强1号,,1.4031,2026-04-24,2026-03-20,正常,风格类,红利指增,0.0,0.035498154981549845
-,SLQ349,api,1.7679,2026-04-24,0.04399433093185312,赢仕安盈二号,,1.7679,2026-04-24,2026-04-24,正常,风格类,转债集中,-0.000169664065150954,0.057989228007181426
-,STE836,api,1.5452,2026-04-24,0.02161983471074369,具力芒种1号,,1.5452,2026-04-24,2026-04-24,正常,风格类,转债分散,-0.00335397316821473,0.029996000533262235
-,AEU46B,api,1.2249,2026-04-24,0.008480158076733302,旌安思源1号B类,,1.2249,2026-04-24,2026-04-24,正常,绝对收益,短线择时,0.0055824644938839985,0.01172875196167511
-,SBDC67,api,1.0172,2026-04-24,0.02292839903459387,创世纪顾锝灵活多策略1号,,1.0172,2026-04-24,2026-04-24,正常,绝对收益,趋势策略,-0.013672064384757099,-0.024362171494340945
-,SCJ476,api,4.0862,2026-04-23,0.008166588537169117,立心-私募学院菁英353号,,4.0862,2026-04-24,2026-04-23,正常,绝对收益,主线择时,0.00435049772643481,0.013467595922517894
-,VB166A,api,2.0513,2026-04-24,0.028736208625877557,翔云50二号A类,,2.0513,2026-04-24,2026-04-24,正常,绝对收益,大盘择时,-0.0022374629116201916,0.040002027986209665
-,SQX078,api,2.2119,2026-04-24,0.014912361200330349,特夫郁金香全量化,,2.2119,2026-04-24,2026-04-24,正常,绝对收益,量化打板,0.005729095621334057,0.014121314932832085
-,SVZ009,api,1.262,2026-04-24,-0.025482625482625476,铭跃行远均衡一号,,1.262,2026-04-24,2026-04-24,正常,商品类,量化时序CTA,-0.0015822784810126667,0.007987220447284393
-,SXJ836,api,1.501,2026-04-23,-0.009502441599577804,碳硅1号,,1.501,2026-04-24,2026-04-23,正常,商品类,化工主观,-0.0043117744610282616,-0.021320988459281542
-,SZM385,api,1.436,2026-04-24,0.011980267794221122,涌泉君安三号,,1.436,2026-04-24,2026-04-24,正常,商品类,黑色主观,-0.0015991100604880737,0.09710443884177544
-,SSR379,api,2.218,2026-04-17,-0.002249212775528475,海鹏扬帆,,2.218,2026-04-24,2026-04-17,正常,商品类,农产品主观,0.0,0.01930147058823528
-,SVZ638,api,8.6439,2026-04-22,0.047339213880676745,格林基金鲲鹏6号,,8.6439,2026-04-24,2026-04-22,正常,多策略,黄金大类,-0.008874823707474722,0.06793921423276506
-,SARZ77,api,1.5079,2026-04-24,0.04802613288851809,波克宏观配置1号,,1.5079,2026-04-24,2026-04-24,正常,多策略,宏观大类,0.005736010138064351,0.13019037625543395
-,SGN799,api,1.4128,2026-04-24,0.060262664165103175,玉数纯阿尔法一号,,1.4128,2026-04-24,2026-04-24,正常,风格类,300指增T0,0.0051938811810743335,0.1172795571372085
-,SNY231,api,1.8213,2026-04-24,0.052044824399260614,玉数顺利一号,,1.8213,2026-04-24,2026-04-24,正常,风格类,500指增T0,0.008415923813742232,0.1300490165663586
-,SZB966,api,1.6743,2026-04-24,0.05527543174082927,玉数涵瑞专享十七号,,1.6743,2026-04-24,2026-04-24,正常,风格类,1000指增T0,-0.006114211088685817,0.1306726094003241
-,SACB34,api,2.2091,2026-04-24,0.1062647103009664,龙旗科技创新精选1号,,2.2091,2026-04-24,2026-04-24,正常,风格类,双创指增,0.0050957732380907395,0.1833619027212341
-,SJD168,api,1.578,2026-04-24,0.01760495260205075,玉数涵瑞六号,,1.578,2026-04-24,2026-04-24,正常,绝对收益,300中性T0,0.002032004064008275,0.07303141574867422
-,SAST37,api,1.0899,2026-04-22,0.0053500599575684316,国联证券陆联1号FOF,,1.0899,2026-04-24,2026-04-22,正常,FOF组合类,低波私募FOF,0.002299061982711237,0.020096748300519884
-,c59639ceac9aca1f,api,1.192403,2026-04-24,0.03544865710705558,大方向之中波思源365,combi,1.192403,2026-04-24,2026-04-24,正常,FOF组合类,中波公募FOF,0.001963756631985225,0.047634569393754767
-,SBHP32,api,1.3777,2026-04-24,0.15977775907062886,正仁择时量选听涛二号,,1.3777,2026-04-24,2026-04-24,正常,风格类,灵活方向择时,0.00584069504271012,0.42133498400907854
