fund_short_name,fund_name,register_number,price_type
简文日昇1号,简文日昇1号私募证券投资基金,STA666,1
探融老虎一号智能量化,探融老虎一号智能量化私募证券投资基金,STB800,2
具力芒种1号,具力芒种1号私募证券投资基金,STE836,2
丰润新享量化平衡,丰润新享量化平衡私募证券投资基金,SSL451,1
子午安心十九号,子午安心十九号私募证券投资基金,STA010,2
京盈智投博远,京盈智投博远私募证券投资基金,STE102,1
外贸信托-金锝上达中证500指数增强1期,外贸信托-金锝上达中证500指数增强1期集合资金信托计划,ZXD33Z202006010018387,1
中孚稳增二号,中孚稳增二号私募证券投资基金,STB970,1
图灵安享沪深300指数增强1号,图灵安享沪深300指数增强1号私募证券投资基金,STG276,2
世纪前沿金选沪深300指数增强1号,世纪前沿金选沪深300指数增强1号私募证券投资基金,STJ622,2
平凡贞观,平凡贞观私募证券投资基金,STH459,2
凡二量化选股3号1期,凡二量化选股3号1期私募证券投资基金,STH545,1
正仁潮汐1000指数增强四号,正仁潮汐1000指数增强四号私募证券投资基金,STK449,1
量派中证1000增强12号A类,量派中证1000增强12号私募证券投资基金A类份额,QJ816A,2
盖亚青柯中证500指数增强1号,盖亚青柯中证500指数增强1号私募证券投资基金,STE437,2
巨量均衡中证500指数增强一号,巨量均衡中证500指数增强一号私募证券投资基金,STG230,1
科瑞菲亚成长1号,科瑞菲亚成长1号私募证券投资基金,STJ121,1
鸣熙天玑中证500指数增强1号,鸣熙天玑中证500指数增强1号私募证券投资基金,STH153,1
汇瑾嘉平一号,汇瑾嘉平一号私募证券投资基金,STJ372,1
乾锦豪价值成长2号,乾锦豪价值成长2号私募证券投资基金,STN697,1
中柏柏跃一号,中柏柏跃一号私募证券投资基金,STF277,2
三个尖泰麋甲子,三个尖泰麋甲子私募证券投资基金,STK587,1
京华世家积极配置42号,京华世家积极配置42号私募证券投资基金,STN113,1
银岳明新量化1号,银岳明新量化1号私募证券投资基金,STM303,1
凡二量化中证500增强16号,凡二量化中证500增强16号私募证券投资基金,STC238,2
巨子1号,巨子1号私募证券投资基金,STH165,1
涌涵峰云1号,涌涵峰云1号私募证券投资基金,STJ351,2
国优卷柏稳健对冲7号,国优卷柏稳健对冲7号私募证券投资基金,STL546,2
秋水长天扶摇1号,秋水长天扶摇1号私募证券投资基金,STM507,2
灏象专享CTA一期,灏象专享一期私募证券投资基金,STN358,1
君宜常立,君宜常立私募证券投资基金,STJ726,2
知行通达-招享稳健1号,知行通达-招享稳健1号私募证券投资基金,STQ316,2
宽德中证1000指数增强2号,宽德中证1000指数增强2号私募证券投资基金,STD264,1
巨子3号,巨子3号私募证券投资基金,STH634,2
无隅鲲鹏科创一号,无隅鲲鹏科创一号私募证券投资基金,STK222,2
