fund_short_name,fund_name,register_number,price_type
平方和智增1号,平方和智增1号私募证券投资基金,SJA839,2
会世元丰CTA2号,会世元丰CTA2号私募证券投资基金,SGY945,1
纽达投资可转债一号,纽达投资可转债一号私募证券投资基金,SGW516,2
平凡战谱中证500指数增强,平凡战谱中证500指数增强私募证券投资基金,SGX806,1
蒙玺纯享CTA三期,蒙玺纯享CTA三期私募证券投资基金,SJA462,1
念空瑞景1号,念空瑞景1号私募证券投资基金,SGZ812,2
因诺中证1000指数增强1号,因诺中证1000指数增强1号私募证券投资基金,SGY044,2
无隅磐石三号,无隅磐石三号私募证券投资基金,SGY228,1
群博多策略精选,群博多策略精选私募证券投资基金,SJC910,1
玉数涵瑞六号,玉数涵瑞六号私募证券投资基金,SJD168,2
双隆-进取6号,双隆-进取6号私募证券投资基金,SGJ513,1
世纪前沿量化对冲9号,世纪前沿量化对冲9号私募证券投资基金,SJD518,2
平凡信全,平凡信全私募证券投资基金,SJE514,1
澜成可转债量化精选,澜成可转债量化精选私募证券投资基金,SJC879,1
SAP智龙中证1000指数增强漓江一号,SAP智龙中证1000指数增强漓江一号私募证券投资基金,SGY648,1
鸣石金选五号,鸣石金选五号私募证券投资基金,SJE620,1
宽德金选中证500指数增强6号,宽德金选中证500指数增强6号私募证券投资基金,SJF555,1
稳博中睿6号,稳博中睿6号私募证券投资基金,SJB143,1
鸣石春天28号,鸣石春天28号私募证券投资基金,SJC016,2
艾方CTA一号,艾方CTA一号私募证券投资基金,SJK594,1
国优期权多策略1号,国优期权多策略1号私募证券投资基金,SGQ662,2
文谛量化套利六号,文谛量化套利六号私募证券投资基金,SJJ977,1
华量绰瑞汇海1号,华量绰瑞汇海1号私募证券投资基金,SJJ119,1
垒昂金鹿量化对冲3号,垒昂金鹿量化对冲3号私募证券投资基金,SJK771,1
雷菱,雷菱私募证券投资基金,SJH238,1
进化论达尔文中证500指数增强一号,进化论达尔文中证500指数增强一号私募证券投资基金,SJL601,1
聚宽进取一号,聚宽进取一号私募证券投资基金,SJJ060,1
衍复中性三号,衍复中性三号私募证券投资基金,SJH864,2
衍复指增三号,衍复指增三号私募证券投资基金,SJH866,2
衍复鲲鹏三号,衍复鲲鹏三号私募证券投资基金,SJM688,2
三亚知行通达汇智1号,三亚知行通达汇智1号私募证券投资基金,SGX190,2
嗣盈迪辐转债2号,嗣盈迪辐转债2号私募证券投资基金,SJM644,2
因诺聚配沪深300指数增强,因诺聚配沪深300指数增强私募证券投资基金,SJR645,2
尊和安盈1号,尊和安盈1号私募证券投资基金,SJR885,1
锐天标准300指数增强1号,锐天标准300指数增强1号私募证券投资基金,SJS701,1
平凡浩睿,平凡浩睿私募证券投资基金,SJS890,1
天演中证500指数增强3号,天演中证500指数增强3号私募证券投资基金,SJU836,1
喜世润黄金1号,喜世润黄金1号私募证券投资基金,SGG396,1
凯纳景泰基本面指数增强2号,凯纳景泰基本面指数增强2号私募证券投资基金,SJT004,1
世纪前沿量化对冲20号,世纪前沿量化对冲20号私募证券投资基金,SJV813,2
佳岳-实投1号,佳岳-实投1号私募证券投资基金,SJQ197,1
百奕传家一号,百奕传家一号私募证券投资基金,SJS027,1
