fund_short_name,fund_name,register_number,price_type
鹿秀中证500指数增强1号,鹿秀中证500指数增强1号私募证券投资基金,SJV467,1
思勰投资-中证500指数增强1号,思勰投资-中证500指数增强1号私募证券投资基金,SJU280,1
每利-班长1号,每利-班长1号私募证券投资基金,SJW106,1
俊丹大象一号,俊丹大象一号私募证券投资基金,SJX425,2
睦沣瀛升一号,睦沣瀛升一号私募证券投资基金,SJL554,2
量魁湘水麓山五号,量魁湘水麓山五号私募证券投资基金,SJZ112,1
稳博1000指数增强1号,稳博1000指数增强1号私募证券投资基金,SJZ127,1
进化论亦谷精选,进化论亦谷精选私募证券投资基金,SJY643,2
上海宽德金刚钻6号,上海宽德金刚钻6号私募证券投资基金,SGU369,1
同温层量化阿尔法1号,同温层量化阿尔法1号证券投资私募基金,SLD035,1
安贤中证500指数增强2号,安贤中证500指数增强2号私募证券投资基金,SJY819,1
丰润永君指数增强,丰润永君指数增强私募证券投资基金,SLA427,1
睦沣二号,睦沣二号私募证券投资基金,SJL350,2
同温层中证500指数增强1号,同温层中证500指数增强1号私募证券投资基金,SLC732,1
鸣石满天星八号,鸣石满天星八号私募证券投资基金,SLE017,2
观升熵简,观升熵简私募证券投资基金,SLE479,1
杉阳云杉转债1号,杉阳云杉转债1号私募证券投资基金,SLE395,1
富尊添利1号,富尊添利1号私募证券投资基金,SLE085,1
立心学院菁英7号,立心学院菁英7号私募证券投资基金,SLD230,2
凯读投资中证2000指数增强1号,凯读投资中证2000指数增强1号私募证券投资基金,SLJ801,2
跃威佳成一号,跃威佳成一号私募证券投资基金,SLH988,1
量客长阳一号,量客长阳一号私募证券投资基金,SLL241,2
因诺择时选股1号,因诺择时选股1号私募证券投资基金,SLK510,2
宏奕东哥2号,宏奕东哥2号私募证券投资基金,SLM766,1
明汯明广中证500指数增强1号,明汯明广中证500指数增强1号私募证券投资基金,SLM774,1
平凡笃行1号,平凡笃行1号私募证券投资基金,SLK419,1
赢仕安盈二号,赢仕安盈二号私募证券投资基金,SLQ349,2
新凰量化七号,新凰量化七号私募证券投资基金,SLP773,2
