trade_date,name,buy_elg_amount,buy_lg_amount,net_amount
20260213,存储芯片,2780942848.0,1434119936.0,4215062784.0
20260213,冷链物流,2693296896.0,-796889088.0,1896407808.0
20260213,智慧政务,3104400384.0,-1272519168.0,1831881216.0
20260213,时空大数据,2529005472.0,-757746864.0,1771258608.0
20260213,光刻机(胶),1185970944.0,302309376.0,1488280320.0
20260213,华为汽车,1382031104.0,94440192.0,1476471296.0
20260213,无线耳机,2470849536.0,-1102584832.0,1368264704.0
20260213,通用航空,1352321280.0,-139198720.0,1213122560.0
20260213,高带宽内存,532046080.0,558194176.0,1090240256.0
20260213,机器人执行器,335438896.0,720996096.0,1056434992.0
20260213,超级电容,1378700000.0,-438660864.0,940039136.0
20260213,MiniLED,580446720.0,158114304.0,738561024.0
20260213,AI眼镜,397809920.0,259505152.0,657315072.0
20260213,空间计算,579527280.0,-134852656.0,444674624.0
20260213,华为海思,62895024.0,371879424.0,434774448.0
20260213,航母概念,886580480.0,-477289472.0,409291008.0
20260213,无人机,1591205632.0,-1209576192.0,381629440.0
20260213,汽车拆解,504853376.0,-135788912.0,369064464.0
20260213,减速器,171971200.0,187214336.0,359185536.0
20260213,裸眼3D,296549040.0,18365728.0,314914768.0
20260213,3D摄像头,206679696.0,100402560.0,307082256.0
20260213,中芯概念,78268160.0,218078720.0,296346880.0
20260213,全息技术,288402256.0,4630240.0,293032496.0
20260213,AI手机,65108864.0,216253440.0,281362304.0
20260213,彩票概念,423394656.0,-158014512.0,265380144.0
20260213,混合现实,620821248.0,-363003648.0,257817600.0
20260213,人形机器人,568014848.0,-331340032.0,236674816.0
20260213,军民融合,2354393600.0,-2120715008.0,233678592.0
20260213,植物照明,40947248.0,148972816.0,189920064.0
20260213,空气能热泵,78298560.0,100478976.0,178777536.0
20260213,租售同权,86843952.0,88822416.0,175666368.0
20260213,股权转让,303287760.0,-147434912.0,155852848.0
20260213,共享经济,210785792.0,-81684928.0,129100864.0
20260213,上海自贸,-110365216.0,218499264.0,108134048.0
20260213,智能家居,88773888.0,15350272.0,104124160.0
20260213,新型工业化,1309801984.0,-1222414080.0,87387904.0
20260213,无人驾驶,490692608.0,-410443520.0,80249088.0
20260213,星闪概念,33627648.0,34245664.0,67873312.0
20260213,有机硅,-92472528.0,146496912.0,54024384.0
20260213,免税概念,-37259584.0,90825456.0,53565872.0
20260213,水产养殖,133865920.0,-81386736.0,52479184.0
20260213,REITs概念,66355936.0,-18817024.0,47538912.0
20260213,Chiplet概念,113164544.0,-72420608.0,40743936.0
20260213,同步磁阻电机,6305200.0,26668704.0,32973904.0
20260213,OLED,685122048.0,-653869568.0,31252480.0
20260213,举牌,6567570.0,16720403.0,23287973.0
20260213,复合集流体,28539312.0,-7253920.0,21285392.0
20260213,净水概念,45107840.0,-23919312.0,21188528.0
20260213,噪声防治,45314577.0,-25748612.0,19565965.0
20260213,工业气体,-82106544.0,86125984.0,4019440.0
20260213,B股,-2626478.0,616262.0,-2010216.0
20260213,汽车芯片,-156457984.0,150920704.0,-5537280.0
20260213,生物质能发电,-7870541.0,-1219808.0,-9090349.0
20260213,PEEK材料概念,-33592112.0,23096832.0,-10495280.0
20260213,气溶胶检测,17138768.0,-36994768.0,-19856000.0
20260213,轮毂电机,-16228650.0,-8940291.0,-25168941.0
20260213,地摊经济,14454064.0,-44275968.0,-29821904.0
20260213,AIPC,-188500224.0,147770368.0,-40729856.0
20260213,京东金融,-2216736.0,-39181680.0,-41398416.0
20260213,富士康,-24432560.0,-17249280.0,-41681840.0
20260213,预制菜概念,165003520.0,-215152032.0,-50148512.0
20260213,医废处理,-39774219.0,-11755952.0,-51530171.0
20260213,地热能,40740350.0,-100210496.0,-59470146.0
20260213,毛发医疗,-31516965.0,-28437216.0,-59954181.0
20260213,抗菌面料,-96196574.0,32398832.0,-63797742.0
20260213,华为欧拉,23217184.0,-87686720.0,-64469536.0
20260213,痘病毒防治,-28441584.0,-37210528.0,-65652112.0
20260213,房屋检测,38205296.0,-104101504.0,-65896208.0
20260213,乳业,17438720.0,-85263600.0,-67824880.0
20260213,阿兹海默,-81318635.0,12960432.0,-68358203.0
20260213,电子后视镜,21111072.0,-94858176.0,-73747104.0
20260213,智慧灯杆,2641296.0,-79529856.0,-76888560.0
20260213,氮化镓,-2095104.0,-75984128.0,-78079232.0
20260213,纳米银,86475104.0,-165917072.0,-79441968.0
20260213,供销社概念,-43286503.0,-36422784.0,-79709287.0
20260213,智能穿戴,-133487616.0,51910144.0,-81577472.0
20260213,猪肉概念,-86254144.0,4414432.0,-81839712.0
20260213,托育服务,-44506722.0,-38592831.0,-83099553.0
20260213,2025三季报扭亏,-32450368.0,-53958064.0,-86408432.0
20260213,MLOps概念,1101808.0,-92280976.0,-91179168.0
20260213,转基因,-60302577.0,-33186096.0,-93488673.0
20260213,社保重仓,-23570448.0,-70232976.0,-93803424.0
20260213,代糖概念,-42551314.0,-52098064.0,-94649378.0
20260213,SPD概念,-16948523.0,-82049426.0,-98997949.0
20260213,电子纸概念,-41718000.0,-59764160.0,-101482160.0
20260213,ST股,-15315168.0,-91830576.0,-107145744.0
20260213,氦气概念,3957824.0,-116535776.0,-112577952.0
20260213,重组蛋白,-73206445.0,-39769856.0,-112976301.0
20260213,熔盐储能,-32954942.0,-90686944.0,-123641886.0
20260213,沪企改革,-29248320.0,-96268864.0,-125517184.0
20260213,化妆品概念,-95988560.0,-33447264.0,-129435824.0
20260213,青蒿素,-88051981.0,-44694720.0,-132746701.0
20260213,PVDF概念,91375008.0,-226167312.0,-134792304.0
20260213,鸡肉概念,-150839006.0,15505008.0,-135333998.0
20260213,智能电视,99960896.0,-236523104.0,-136562208.0
20260213,核污染防治,-52630400.0,-90254336.0,-142884736.0
20260213,数字阅读,185072336.0,-329299968.0,-144227632.0
20260213,长寿药,-51792086.0,-92932560.0,-144724646.0
20260213,超级真菌,3495568.0,-151555472.0,-148059904.0
20260213,土地流转,-125927184.0,-24156752.0,-150083936.0
20260213,甘肃板块,-64977008.0,-106991136.0,-171968144.0
20260213,吉林板块,-134909088.0,-87612080.0,-222521168.0
20260213,青海板块,-96256144.0,-145789808.0,-242045952.0
20260213,西藏板块,-116514880.0,-213525312.0,-330040192.0
20260213,黑龙江,-284749680.0,-107255968.0,-392005648.0
20260213,宁夏板块,-328555776.0,-65479936.0,-394035712.0
20260213,贵州板块,12061344.0,-415217040.0,-403155696.0
