基金代码,基金名称,基金公司,基金类型,投资类型,股票仓位(%),3个月收益(%),6个月收益(%),9个月收益(%),重点管理人
016443.OF,中信建投景益C,中信建投基金,债券型,债券型,0.0,0.0,1.825829270624224,0.0,否
017622.OF,同泰恒盛A,同泰基金,债券型,债券型,0.0,0.0,-0.33521524347213116,0.0,否
016442.OF,中信建投景益A,中信建投基金,债券型,债券型,0.0,0.0,0.0,0.0,否
017623.OF,同泰恒盛C,同泰基金,债券型,债券型,0.0,0.0,-0.39525691699604515,0.0,否
017529.OF,财通安益中短债A,财通基金,债券型,债券型,0.0,0.0,0.0,0.0,否
017530.OF,财通安益中短债C,财通基金,债券型,债券型,0.0,0.0,0.0,0.0,否
017531.OF,财通安益中短债E,财通基金,债券型,债券型,0.0,0.0,0.0,0.0,否
017332.OF,国富稳健养老目标一年持有A,国海富兰克林基金,混合型,混合型,0.0,0.0,0.0,0.0,否
018321.OF,兴全安悦平衡养老三年持有Y,兴证全球基金,混合型,混合型,0.0,0.0,0.0,0.0,否
017119.OF,浦银安盛安荣回报一年持有C,浦银安盛基金,混合型,混合型,0.0,0.0,0.0,0.0,否
017700.OF,广发景泰C,广发基金,债券型,债券型,0.0,0.0,0.0,0.0,否
017699.OF,广发景泰A,广发基金,债券型,债券型,0.0,0.0,0.0,0.0,否
017046.OF,达诚腾益C,达诚基金,债券型,债券型,0.0,0.0,0.0,0.0,否
017045.OF,达诚腾益A,达诚基金,债券型,债券型,0.0,0.0,0.0,0.0,否
017817.OF,鹏扬裕利三年封闭,鹏扬基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018275.OF,蜂巢丰嘉A,蜂巢基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018276.OF,蜂巢丰嘉C,蜂巢基金,债券型,债券型,0.0,0.0,0.0,0.0,否
018223.OF,华安添荣C,华安基金,债券型,债券型,0.0,0.0,0.0,0.0,否
016353.OF,兴银合泰A,兴银基金,债券型,债券型,0.0,0.0,0.0,0.0,否
017134.OF,博道和祥多元稳健A,博道基金,债券型,债券型,0.0,0.0,0.0,0.0,否
016354.OF,兴银合泰C,兴银基金,债券型,债券型,0.0,0.0,0.0,0.0,否
017135.OF,博道和祥多元稳健C,博道基金,债券型,债券型,0.0,0.0,0.0,0.0,否
017661.OF,南方浩恒稳健优选6个月持有A,南方基金,混合型,混合型,0.0,0.0,0.0,0.0,否
016321.OF,红塔红土瑞恒纯债C,红塔红土基金,债券型,债券型,0.0,0.0,0.0,0.0,否
