日期,中证红利涨跌幅%,科创50涨跌幅%,中证红利-科创50轧差%,中证红利-科创50净值,微盘股涨跌幅%,中证全指涨跌幅%,微盘股-中证全指轧差%,微盘股-中证全指净值,中证2000涨跌幅%,沪深300涨跌幅%,中证2000-沪深300轧差%,中证2000-沪深300净值
01/20,-0.4617,0.995383
01/21,-1.4482,0.980967863394
01/22,-0.9034000000000001,0.9721057997160986
01/23,1.9638,0.9911960134109233
01/24,-0.25749999999999995,0.9886436836763902
01/27,3.2911,1.0211809359498638
02/05,-4.875,0.9713983653223079
02/06,-2.8068,0.9441331560044415
02/07,-0.07680000000000009,0.9434080617406301
02/10,-1.8775000000000002,0.9256955753814498
02/11,1.5705,0.9402336243928155
02/12,-1.61,0.9250958630400912
02/13,2.3467,0.9468050876580529
02/14,-0.3339,0.9436437054703627
02/17,-1.8724,0.9259749207291357
02/18,2.1837999999999997,0.9461963610480185
02/19,-2.5952,0.9216406730861003
02/20,-0.0952,0.9207632711653224
02/21,-6.6145000000000005,0.8598593845940922
02/24,-0.3975,0.8564414435403307
02/25,-0.9209,0.8485544742867678
02/26,-0.9146999999999998,0.8407927465104666
02/27,1.1527999999999998,0.8504854052922393
02/28,3.4873,0.8801443828309955
03/03,1.4008,0.8924734453456921
03/04,-1.7142,0.8771746655455762
03/05,0.18229999999999996,0.8787737549608657
03/06,-3.5084,0.8479428565418187
03/07,1.3801999999999999,0.8596461638478089
03/10,0.5152,0.8640750608839528
03/11,1.0371000000000001,0.8730363833403803
03/12,0.3277,0.8758973235685866
03/13,2.8046,0.9004627399053913
03/14,-0.9603,0.8918155962140798
03/17,0.8194999999999999,0.8991240250250542
03/18,-0.782,0.8920928751493582
03/19,1.3334000000000001,0.9039880415465997
03/20,0.8523,0.9116927316247014
03/21,1.6311,0.9265633517702319
03/24,0.26739999999999997,0.9290409821728656
03/25,1.9957000000000003,0.9475818530540895
03/26,0.11679999999999999,0.9486886286584567
03/27,-1.2129,0.9371819842814583
03/28,0.3400000000000001,0.9403684030280153
03/31,0.133,0.9416190930040426
04/01,0.8087,0.9492339666091663
04/02,0.5219,0.9541880186808995
04/03,0.5924,0.9598406285035652
04/07,2.5515,0.9843309621398336
04/08,0.8329000000000002,0.9925294547234963
04/09,-4.007899999999999,0.9527498667076333
04/10,-0.1412,0.9514045838958421
04/11,-2.5168,0.9274596333283516
04/14,0.6411,0.9334055770376196
04/15,1.2629000000000001,0.9451935560700278
04/16,-0.35719999999999996,0.9418173246877456
04/17,-0.4337,0.9377326629505748
04/18,0.8458,0.9456640058138108
04/21,-1.208,0.9342403846235801
04/22,0.7011000000000001,0.940790343960176
04/23,-0.09410000000000002,0.9399050602465095
04/24,1.4586999999999999,0.9536154553603253
04/25,-0.2813,0.9509329350843968
04/28,0.1565,0.952421145127804
04/29,-0.36560000000000004,0.9489390934212167
04/30,-1.5112,0.9345987258414353
05/06,-1.1405,0.9239396273732138
05/07,0.3197,0.9268934623619258
05/08,0.41240000000000004,0.9307159710007065
05/09,2.474,0.9537418841232639
05/12,-0.1421,0.9523866169059247
05/13,0.8523000000000001,0.960503808041814
05/14,0.1593,0.9620338906080246
05/15,0.8523999999999999,0.9702342674915674
05/16,0.017199999999999993,0.970401147785576
05/19,0.26399999999999996,0.9729630068157299
05/20,0.04720000000000002,0.9734222453549469
05/21,0.9839,0.9829997468269942
05/22,0.3035,0.985983151058614
05/23,0.03929999999999989,0.9863706424369801
05/26,-0.8471,0.9780150967248965
05/27,0.691,0.9847731810432655
05/28,0.5532,0.9902209462807969
05/29,-1.4361,0.9760003832712585
05/30,1.0348,0.9861000352373495
06/03,-0.11409999999999998,0.9849748950971436
06/04,-0.1704,0.9832964978758981
06/05,-1.6167,0.9673995433947384
06/06,0.45640000000000003,0.9718147549107921
06/09,-0.4079,0.9678507225255109
06/10,1.3954,0.9813561115076318
06/11,0.5105999999999999,0.9863669158129899
06/12,0.3039,0.9893644848701455
06/13,-0.496,0.9844572370251896
06/16,0.4376,0.9887652218944117
06/17,0.7567,0.9962472083284869
06/18,-0.641,0.9898612637231012
06/19,-0.10880000000000001,0.9887842946681705
06/20,0.6930999999999999,0.9956375586145156
06/23,-0.12309999999999999,0.9944119287798612
06/24,-1.4713,0.9797811460717231
06/25,-1.3861999999999999,0.9661994198248768
06/26,0.5938,0.9719367119797969
06/27,-0.34559999999999996,0.9685776987031948
06/30,-1.648,0.952615538228566
07/01,1.6734,0.9685566066452829
07/02,1.9399,0.9873456362575946
07/03,-0.2415,0.9849611965460326
07/04,0.5211,0.9900938293412341
07/07,1.0982,1.0009670397750596
07/08,-1.4449999999999998,0.98650306605031
07/09,1.2151,0.9984900648058873
07/10,0.9398,1.0078738744349331
07/11,-2.2072000000000003,0.9856280822784054
07/14,0.6975,0.9925028381522972
07/15,-1.5509000000000002,0.9771101116353933
07/16,-0.5693,0.971547423769853
07/17,-0.8894,0.962906480982844
07/18,0.15680000000000002,0.9644163183450252
07/21,1.2186000000000001,0.9761686956003777
07/22,0.8148,0.9841225181321296
07/23,-0.8138,0.9761137290795704
07/24,-0.7547999999999999,0.9687460226524778
07/25,-2.7188999999999997,0.9424067870425795
07/28,-1.1747,0.9313363345151904
07/29,-1.4909999999999999,0.9174501097675689
07/30,1.3073,0.9294439350525603
07/31,-0.7228000000000001,0.9227259142900004
08/01,1.0566,0.9324754363003886
08/04,-0.7488999999999999,0.9254921277579351
08/05,0.6402,0.9314171283598415
08/06,0.05389999999999995,0.9319191621920275
08/07,0.316,0.9348640267445544
