日期,高拥挤Top6等权%,低拥挤Bot6等权%,高-低轧差%,轧差净值,Top6行业,Bottom6行业
12/08,0.18166666666666664,1.2750000000000001,-1.0933333333333335,1.0438163887047012,"美容护理, 综合, 石油石化, 煤炭, 钢铁, 建筑材料","电子, 电力设备, 计算机, 机械设备, 基础化工, 有色金属"
12/09,-0.555,-0.3366666666666666,-0.21833333333333343,1.0415373895893625,"美容护理, 综合, 石油石化, 煤炭, 钢铁, 社会服务","电子, 电力设备, 计算机, 机械设备, 通信, 有色金属"
12/10,0.3466666666666667,0.19,0.15666666666666668,1.0431691314997191,"美容护理, 综合, 煤炭, 石油石化, 钢铁, 社会服务","电子, 电力设备, 计算机, 机械设备, 通信, 有色金属"
12/11,-1.5583333333333333,-1.5150000000000001,-0.043333333333333224,1.042717091542736,"美容护理, 综合, 石油石化, 煤炭, 钢铁, 建筑材料","电子, 电力设备, 计算机, 通信, 机械设备, 有色金属"
12/12,-0.23166666666666666,1.2916666666666665,-1.5233333333333332,1.0268330345149017,"美容护理, 综合, 石油石化, 钢铁, 煤炭, 建筑材料","电子, 电力设备, 计算机, 通信, 机械设备, 有色金属"
12/15,0.2016666666666667,-1.4333333333333333,1.635,1.0436217546292204,"美容护理, 综合, 石油石化, 煤炭, 钢铁, 建筑材料","电子, 电力设备, 通信, 计算机, 机械设备, 有色金属"
12/16,-1.0316666666666667,-2.23,1.1983333333333333,1.0561278219888603,"美容护理, 综合, 石油石化, 煤炭, 钢铁, 社会服务","电子, 电力设备, 通信, 计算机, 机械设备, 有色金属"
12/17,0.87,2.6216666666666666,-1.7516666666666665,1.037627982973689,"美容护理, 综合, 煤炭, 石油石化, 钢铁, 社会服务","电子, 电力设备, 通信, 计算机, 机械设备, 有色金属"
12/18,0.24333333333333335,-1.0833333333333335,1.3266666666666669,1.0513938475478066,"美容护理, 综合, 煤炭, 石油石化, 钢铁, 社会服务","电子, 电力设备, 通信, 计算机, 机械设备, 有色金属"
12/19,1.3083333333333333,0.855,0.45333333333333337,1.0561601663233566,"美容护理, 综合, 石油石化, 煤炭, 钢铁, 社会服务","电子, 电力设备, 通信, 机械设备, 计算机, 有色金属"
12/22,0.7516666666666667,2.0216666666666665,-1.2699999999999998,1.0427469322110499,"美容护理, 综合, 石油石化, 煤炭, 钢铁, 社会服务","电子, 电力设备, 通信, 机械设备, 计算机, 有色金属"
12/23,-0.69,0.09,-0.7799999999999999,1.0346135061398036,"美容护理, 综合, 石油石化, 煤炭, 钢铁, 社会服务","电子, 电力设备, 通信, 机械设备, 计算机, 有色金属"
12/24,0.585,1.2883333333333333,-0.7033333333333334,1.0273367244799536,"美容护理, 综合, 煤炭, 石油石化, 钢铁, 社会服务","电子, 电力设备, 通信, 机械设备, 计算机, 有色金属"
12/25,0.12999999999999998,0.39166666666666666,-0.2616666666666667,1.0246485267175645,"美容护理, 综合, 煤炭, 石油石化, 钢铁, 纺织服饰","电子, 电力设备, 通信, 机械设备, 计算机, 有色金属"
12/26,0.265,0.7416666666666667,-0.4766666666666667,1.0197643687402107,"美容护理, 综合, 煤炭, 石油石化, 钢铁, 纺织服饰","电子, 电力设备, 通信, 机械设备, 计算机, 有色金属"
12/29,-0.08333333333333334,-0.47833333333333333,0.395,1.0237924379967345,"美容护理, 综合, 煤炭, 石油石化, 钢铁, 纺织服饰","电子, 电力设备, 通信, 机械设备, 有色金属, 计算机"
12/30,0.33,0.4666666666666667,-0.13666666666666666,1.022393254998139,"美容护理, 综合, 煤炭, 石油石化, 钢铁, 社会服务","电子, 电力设备, 通信, 机械设备, 有色金属, 国防军工"
12/31,0.04333333333333332,-0.02333333333333336,0.06666666666666668,1.0230748505014708,"美容护理, 综合, 煤炭, 石油石化, 钢铁, 社会服务","电子, 电力设备, 机械设备, 通信, 国防军工, 有色金属"
01/05,0.685,2.3033333333333332,-1.6183333333333332,1.0065180891708554,"美容护理, 综合, 煤炭, 石油石化, 钢铁, 社会服务","电子, 电力设备, 机械设备, 通信, 国防军工, 有色金属"
01/06,1.9000000000000001,1.69,0.2100000000000002,1.0086317771581141,"美容护理, 综合, 煤炭, 石油石化, 钢铁, 社会服务","电子, 电力设备, 机械设备, 通信, 国防军工, 有色金属"
01/07,0.7433333333333333,0.63,0.11333333333333329,1.0097748931722268,"美容护理, 综合, 煤炭, 钢铁, 石油石化, 社会服务","电子, 电力设备, 机械设备, 通信, 国防军工, 有色金属"
01/08,0.39499999999999996,0.46333333333333326,-0.0683333333333333,1.009084880328559,"美容护理, 综合, 煤炭, 钢铁, 石油石化, 社会服务","电子, 电力设备, 机械设备, 通信, 国防军工, 有色金属"
01/09,1.4233333333333333,1.7166666666666666,-0.2933333333333332,1.0061248980129285,"美容护理, 综合, 煤炭, 钢铁, 石油石化, 社会服务","电子, 电力设备, 机械设备, 国防军工, 通信, 有色金属"
01/12,0.7949999999999999,3.2866666666666666,-2.4916666666666667,0.9810556193041063,"美容护理, 综合, 煤炭, 钢铁, 石油石化, 纺织服饰","电子, 电力设备, 机械设备, 国防军工, 通信, 计算机"
01/13,-0.19666666666666666,-2.7083333333333335,2.5116666666666667,1.0056964662756278,"美容护理, 综合, 煤炭, 钢铁, 石油石化, 纺织服饰","电子, 电力设备, 机械设备, 国防军工, 计算机, 通信"
01/14,0.4766666666666667,1.0416666666666667,-0.5650000000000001,1.0000142812411705,"美容护理, 综合, 煤炭, 钢铁, 石油石化, 纺织服饰","电子, 电力设备, 机械设备, 国防军工, 计算机, 通信"
