date,contract,name,fut_close,spot_close,basis,basis_pct,annual_basis_pct,fut_vol,fut_amount,fut_oi
20260327,IC,中证500,7559.2,7737.61,-178.41,-2.3058,-27.67,94768.0,14222523.888,153449.0
20260327,IF,沪深300,4427.4,4502.57,-75.17,-1.6695,-20.03,52315.0,6929296.482,140907.0
20260327,IH,上证50,2814.4,2837.31,-22.91,-0.8073,-9.69,25549.0,2157721.134,56140.0
20260327,IM,中证1000,7523.8,7746.31,-222.51,-2.8725,-34.47,142109.0,21193172.632,198341.0
20260330,IC,中证500,7560.6,7753.72,-193.12,-2.4907,-29.89,98144.0,14699471.244,150647.0
20260330,IF,沪深300,4414.0,4491.95,-77.95,-1.7353,-20.82,55057.0,7248299.436,137054.0
20260330,IH,上证50,2812.4,2833.21,-20.81,-0.7343,-8.81,26457.0,2222143.68,55729.0
20260330,IM,中证1000,7509.4,7767.93,-258.53,-3.3282,-39.94,146546.0,21807001.76,199034.0
20260331,IC,中证500,7425.0,7617.33,-192.33,-2.5249,-30.3,99001.0,14870352.924,154924.0
20260331,IF,沪深300,4375.8,4450.05,-74.25,-1.6685,-20.02,57873.0,7649039.802,139291.0
20260331,IH,上证50,2804.0,2826.12,-22.12,-0.7829,-9.39,28712.0,2431376.412,55483.0
20260331,IM,中证1000,7379.4,7619.85,-240.45,-3.1556,-37.87,146234.0,21779761.86,201094.0
20260401,IC,中证500,7565.8,7750.09,-184.29,-2.3779,-28.54,91572.0,13835100.384,150714.0
20260401,IF,沪深300,4448.2,4526.07,-77.87,-1.7204,-20.64,53071.0,7067702.676,136771.0
20260401,IH,上证50,2853.8,2878.79,-24.99,-0.8682,-10.42,26208.0,2242741.218,54582.0
20260401,IM,中证1000,7518.6,7764.15,-245.55,-3.1626,-37.95,133854.0,20095200.384,196543.0
20260402,IC,中证500,7409.6,7605.29,-195.69,-2.5731,-30.88,93435.0,13906583.22,153081.0
20260402,IF,沪深300,4390.2,4478.91,-88.71,-1.9807,-23.77,53008.0,7000141.776,138037.0
20260402,IH,上证50,2827.6,2853.45,-25.85,-0.906,-10.87,24390.0,2070574.29,53206.0
20260402,IM,中证1000,7371.6,7623.42,-251.82,-3.3032,-39.64,133318.0,19738831.12,204065.0
20260403,IC,中证500,7352.0,7534.94,-182.94,-2.4279,-29.13,78708.0,11614386.544,145457.0
20260403,IF,沪深300,4362.2,4440.79,-78.59,-1.7697,-21.24,46962.0,6161143.578,134794.0
