trade_date,heavy_nav,light_nav,relative_strength,rs_ma20,rs_ma60
2025-09-09,99.71633753365046,100.29220685832283,99.42580850226392,,
2025-09-10,100.83518612389642,100.0294563579071,100.80549249723643,,
2025-09-11,101.75618009471228,101.43243960257445,100.31916859478712,,
2025-09-12,101.26795318890683,101.46493661729517,99.8058605909041,,
2025-09-15,101.15135205823248,102.05613814884514,99.11344275119146,,
2025-09-16,100.96151903504624,102.02092901822535,98.96157583216102,,
2025-09-17,101.02986034625039,101.98629321394985,99.06219469542536,,
2025-09-18,101.23956371647682,102.3833724793933,98.8828178490148,,
2025-09-19,101.11127832966315,102.81390876762175,98.34396877001646,,
2025-09-22,101.40660406700022,103.01215540565293,98.44139622908558,,
2025-09-23,101.90833331637165,102.56780930239002,99.35703415086687,,
2025-09-24,101.98307031922616,102.27334585844017,99.71617674499885,,
2025-09-25,101.45728561070702,101.35093114400367,100.10493684222025,,
2025-09-26,102.6410776754181,102.3131146630289,100.3205483612432,,
2025-09-29,102.41548403812627,102.72161958005941,99.70197554985536,,
2025-09-30,102.50966265006531,103.32667449911908,99.2092924184251,,
2025-10-01,102.41672536755932,104.18348482168747,98.30418472068581,,
2025-10-02,102.4745348864176,104.02647196956076,98.508132541881,,
2025-10-03,102.99305039505633,104.0124854417158,99.0198916578811,,
2025-10-06,103.47298662756626,104.40029785130969,99.11177339257773,99.32578363463607,
2025-10-07,103.38160388706402,103.68554899110467,99.70685875997364,99.33983614752157,
2025-10-08,103.7751178196003,104.16152662561773,99.62902924089593,99.28101298470455,
2025-10-09,102.60509240616327,103.77921425765746,98.86863486113978,99.20848629802217,
2025-10-10,100.64061981583873,101.14488870992449,99.50143907367188,99.19326522216056,
2025-10-13,101.8519367978076,102.53549614979,99.33334369301356,99.20426026925166,
2025-10-14,102.63677244954349,102.50055535880126,100.13289400263774,99.26282617777551,
2025-10-15,102.73790062191404,103.01480290808624,99.73120146002778,99.29627651600562,
