date,index_name,daily_buy_amt,daily_sell_amt,daily_net_amt,cum_position,cost_price,close_price,pnl_pct,abnormal_bars
20240301,沪深300,0.1295,0.0,0.1295,582.9,3.503,3.6,2.77,1
20240304,沪深300,0.0,0.0,0.0,582.49,3.503,3.5975,2.7,0
20240305,沪深300,53.7849,1.1951,52.5898,640.65,3.5075,3.6305,3.51,12
20240306,沪深300,1.3981,0.65,0.7481,638.31,3.5076,3.613,3.0,2
20240307,沪深300,1.0613,2.2515,-1.1902,633.32,3.5077,3.5915,2.39,3
20240308,沪深300,0.3637,0.0,0.3637,636.25,3.5077,3.606,2.8,1
20240311,沪深300,6.8426,0.0,6.8426,651.19,3.5082,3.6515,4.08,2
20240312,沪深300,5.6517,0.0,5.6517,658.01,3.5088,3.658,4.25,2
20240313,沪深300,0.0,0.0,0.0,653.96,3.5088,3.6355,3.61,0
20240314,沪深300,0.0,0.5855,-0.5855,651.04,3.5088,3.6225,3.24,1
20240315,沪深300,0.8173,0.0,0.8173,653.3,3.5089,3.6305,3.47,1
20240318,沪深300,0.0028,0.0,0.0028,659.42,3.5089,3.6645,4.44,1
20240319,沪深300,0.0,0.5772,-0.5772,654.35,3.5089,3.6395,3.72,1
20240320,沪深300,0.0,0.0,0.0,655.06,3.5089,3.6435,3.84,0
20240321,沪深300,0.0,0.0,0.0,654.62,3.5089,3.641,3.77,0
20240322,沪深300,19.9355,0.5699,19.3657,668.18,3.5102,3.6085,2.8,5
20240325,沪深300,0.0,0.0,0.0,664.67,3.5102,3.5895,2.26,0
20240326,沪深300,1.5984,0.0,1.5984,668.58,3.5103,3.602,2.61,3
20240327,沪深300,0.0192,0.4781,-0.459,660.98,3.5103,3.5635,1.52,2
20240328,沪深300,2.6797,0.3726,2.3071,666.43,3.5105,3.5805,2.0,3
20240329,沪深300,0.0,0.5754,-0.5754,668.74,3.5105,3.596,2.44,1
20240401,沪深300,5.5303,2.431,3.0993,682.93,3.511,3.6555,4.12,6
20240402,沪深300,0.0,0.0,0.0,680.6,3.511,3.643,3.76,0
20240403,沪深300,0.0,0.0,0.0,677.89,3.511,3.6285,3.35,0
20240408,沪深300,0.0,0.0,0.0,672.28,3.511,3.5985,2.49,0
20240409,沪深300,0.0,0.0,0.0,671.26,3.511,3.593,2.34,0
20240410,沪深300,0.0,2.4522,-2.4522,663.94,3.511,3.567,1.6,1
20240411,沪深300,0.0,0.0,0.0,663.1,3.511,3.5625,1.47,0
20240412,沪深300,0.0,4.6701,-4.6701,653.04,3.511,3.5335,0.64,3
20240415,沪深300,7.5174,1.4263,6.091,673.15,3.5113,3.609,2.78,5
20240416,沪深300,1.4622,0.7904,0.6718,667.57,3.5114,3.5755,1.83,7
20240417,沪深300,6.8851,0.0,6.8851,683.46,3.5118,3.6235,3.18,4
20240418,沪深300,4.4235,1.3464,3.077,687.65,3.5122,3.6295,3.34,5
20240419,沪深300,0.288,0.0,0.288,682.45,3.5123,3.6005,2.51,1
20240422,沪深300,0.7949,0.1817,0.6133,681.64,3.5123,3.593,2.3,2
20240423,沪深300,1.4101,3.1786,-1.7685,675.13,3.5124,3.568,1.58,6
20240424,沪深300,0.4821,0.0,0.4821,678.16,3.5124,3.5815,1.97,1
20240425,沪深300,1.1565,0.796,0.3604,680.51,3.5125,3.592,2.26,3
20240426,沪深300,7.574,4.6918,2.8822,693.09,3.513,3.643,3.7,11
20240429,沪深300,17.9001,2.9346,14.9654,716.69,3.515,3.688,4.92,10
20240430,沪深300,0.709,0.6173,0.0917,712.99,3.5151,3.6685,4.36,2
20240506,沪深300,3.8296,16.7309,-12.9012,710.21,3.5156,3.7205,5.83,9
20240507,沪深300,1.4567,0.7925,0.6642,711.26,3.5158,3.7225,5.88,4
20240508,沪深300,0.0,0.1923,-0.1923,705.14,3.5158,3.6915,5.0,1
20240509,沪深300,0.0,0.0,0.0,712.11,3.5158,3.728,6.04,0
20240510,沪深300,0.347,3.5202,-3.1732,709.31,3.5159,3.73,6.09,3
20240513,沪深300,0.2314,0.8942,-0.6628,708.17,3.5159,3.7275,6.02,2
20240514,沪深300,0.0,0.0,0.0,706.93,3.5159,3.721,5.83,0
20240515,沪深300,0.8468,0.8913,-0.0445,701.86,3.516,3.6945,5.08,3
20240516,沪深300,3.4804,3.1967,0.2837,704.51,3.5164,3.707,5.42,7
20240517,沪深300,6.9123,0.0,6.9123,719.71,3.5175,3.7505,6.63,2
20240520,沪深300,0.3735,1.1232,-0.7497,720.11,3.5175,3.7565,6.79,3
20240521,沪深300,0.0,0.0,0.0,717.81,3.5175,3.7445,6.45,0
20240522,沪深300,1.2157,0.8635,0.3522,720.27,3.5177,3.7555,6.76,5
20240523,沪深300,0.0,0.0,0.0,712.51,3.5177,3.715,5.61,0
20240524,沪深300,0.0,0.0,0.0,704.55,3.5177,3.6735,4.43,0
20240527,沪深300,0.0,0.0,0.0,710.3,3.5177,3.7035,5.28,0
20240528,沪深300,0.0,0.0,0.0,705.79,3.5177,3.68,4.61,0
20240529,沪深300,0.0,0.0,0.0,706.18,3.5177,3.682,4.67,0
20240530,沪深300,0.0,0.6181,-0.6181,702.78,3.5177,3.6675,4.26,2
20240531,沪深300,1.6635,0.3463,1.3172,701.59,3.5179,3.6545,3.88,2
20240603,沪深300,0.0,3.1512,-3.1512,699.11,3.5179,3.658,3.98,1
20240604,沪深300,1.7781,0.3137,1.4644,705.74,3.5181,3.685,4.74,4
