symbol,sector,close,chg_20d,trend_dir,ma_alignment,vol_20d,vol_pctile_60d,squeeze,volume_ratio,donchian_20,donchian_60,dc20_position,oi_chg_5d,oi_chg_20d,oi_confirm,r2,avg_daily_amt,signal_count,drivers,industry_drivers,trend_score
Y,农产品,8228.0,2.44,多头,0.6,0.1323,0.9333,False,1.1345,,,0.56,-0.98,-8.05,,0.0412,2204099.86,1,趋势多头,棕榈油替代·食用需求·进口大豆到港,0.4351
EB,能源化工,7578.0,5.21,震荡,0.0,0.3454,0.9833,False,1.6471,,,0.5282,47.2,128.9,多头确认,0.0993,2871381.4,2,放量|多头确认,,0.432
HC,黑色系,3236.0,-1.22,空头,-0.6,0.0845,0.3167,False,0.8333,,,0.4331,-2.7,1.01,,0.8113,1116736.31,2,趋势空头|高线性度,制造业需求·汽车家电·钢厂利润,0.4183
SI,有色金属,8430.0,-3.6,空头,-0.8,0.1528,0.0167,False,0.8962,,,0.161,3.48,39.82,空头确认,0.7437,1134769.02,2,趋势空头|空头确认,光伏多晶硅·有机硅需求·产能投放,0.4159
SR,农产品,5248.0,1.25,多头,0.4,0.0888,0.45,False,1.0525,,,0.7761,-2.66,1.68,,0.5274,1186869.34,1,趋势多头,甘蔗产量·进口配额·替代糖浆,0.4069
NI,有色金属,141250.0,-0.08,多头,0.6,0.4777,0.65,False,1.0461,,,0.6318,-52.31,-51.57,空头衰竭,0.3025,7732018.08,1,趋势多头,不锈钢需求·印尼镍矿·新能源电池,0.403
RB,黑色系,3076.0,-1.13,空头,-0.6,0.102,0.2667,False,0.8319,,,0.4671,-3.72,14.21,空头衰竭,0.7561,2284297.33,1,趋势空头,地产开工·基建投资·钢厂利润,0.4025
RM,农产品,2312.0,3.72,多头,0.4,0.1435,0.5,False,1.1233,,,0.866,-7.14,-13.3,多头衰竭,0.1445,974409.96,1,趋势多头,,0.3972
V,能源化工,4963.0,3.25,多头,0.4,0.2117,0.5667,False,1.3166,,,0.534,0.75,8.95,,0.1318,3724413.27,2,趋势多头|放量,,0.3878
PP,能源化工,6720.0,4.01,震荡,0.2,0.1856,1.0,False,1.1081,,,0.6333,-1.8,2.9,,0.0012,1345052.73,0,,石化投产·塑编需求·PDH利润,0.3847
PX,能源化工,7432.0,2.77,多头,0.6,0.2382,0.6667,False,0.9037,,,0.6912,1.09,43.88,,0.0028,979160.41,1,趋势多头,,0.3781
AG,贵金属,23029.0,-0.14,多头,0.4,1.2597,1.0,False,0.8347,,,0.3498,-15.55,-41.96,空头衰竭,0.3598,30325594.83,1,趋势多头,光伏需求·工业属性·金银比,0.3734
B,农产品,3589.0,3.61,震荡,0.2,0.1329,0.6333,False,1.1239,,,0.951,21.29,41.71,多头确认,0.0057,464841.86,1,多头确认,,0.3584
