ts_code,stk_code,conv_price,maturity_date,list_date,bond_short_name,par
128135.SZ,002557.SZ,55.93,20261020,20201118,洽洽转债,100.0
123071.SZ,300569.SZ,6.7,20261021,20201125,天能转债,100.0
123072.SZ,300729.SZ,32.91,20261021,20201110,乐歌转债,100.0
113605.SH,603233.SH,17.35,20261022,20201113,大参转债,100.0
110076.SH,600521.SH,33.06,20261102,20201125,华海转债,100.0
128136.SZ,002475.SZ,55.97,20261103,20201202,立讯转债,100.0
127024.SZ,000967.SZ,7.67,20261104,20201202,盈峰转债,100.0
128137.SZ,002859.SZ,26.46,20261104,20201201,洁美转债,100.0
127025.SZ,000401.SZ,13.01,20261105,20201202,冀东转债,100.0
128138.SZ,002973.SZ,17.9,20261117,20201224,侨银转债,100.0
123076.SZ,300429.SZ,12.7,20261119,20201204,强力转债,100.0
110077.SH,600461.SH,4.88,20261120,20201217,洪城转债,100.0
113610.SH,603669.SH,6.5,20261201,20201222,灵康转债,100.0
123080.SZ,300517.SZ,11.38,20261202,20201222,海波转债,100.0
127026.SZ,000823.SZ,12.22,20261208,20210114,超声转债,100.0
113043.SH,601108.SH,8.03,20261210,20201228,财通转债,100.0
127027.SZ,000552.SZ,2.93,20261210,20210122,能化转债,100.0
123085.SZ,300057.SZ,4.99,20261211,20201228,万顺转2,100.0
123088.SZ,300707.SZ,14.96,20261215,20210106,威唐转债,100.0
128141.SZ,002034.SZ,13.98,20261217,20210118,旺能转债,100.0
128142.SZ,002946.SZ,17.88,20261218,20210119,新乳转债,100.0
123090.SZ,300298.SZ,34.46,20261221,20210112,三诺转债,100.0
113615.SH,603979.SH,11.78,20261223,20210114,金诚转债,100.0
123091.SZ,300196.SZ,15.34,20261223,20210115,长海转债,100.0
123092.SZ,300332.SZ,4.98,20261224,20210115,天壕转债,100.0
113616.SH,603501.SH,159.12,20261228,20210122,韦尔转债,100.0
127028.SZ,000411.SZ,9.3,20270105,20210310,英特转债,100.0
113618.SH,603538.SH,21.28,20270114,20210204,美诺转债,100.0
113042.SH,601229.SH,8.57,20270125,20210210,上银转债,100.0
118000.SH,688388.SH,33.18,20270223,20210315,嘉元转债,100.0
128144.SZ,002734.SZ,8.1,20270301,20210324,利民转债,100.0
113045.SH,601231.SH,18.58,20270304,20210402,环旭转债,100.0
123104.SZ,300253.SZ,17.31,20270316,20210331,卫宁转债,100.0
113046.SH,601609.SH,10.32,20270322,20210412,金田转债,100.0
127030.SZ,000301.SZ,13.21,20270322,20210421,盛虹转债,100.0
127031.SZ,000902.SZ,17.09,20270325,20210423,洋丰转债,100.0
123107.SZ,300498.SZ,16.29,20270329,20210421,温氏转债,100.0
123108.SZ,300003.SZ,27.86,20260330,20210419,乐普转2,100.0
123109.SZ,300151.SZ,26.72,20270401,20210419,昌红转债,100.0
