trade_date,ts_code,close,vol,amount,pct_chg,pre_close,open,high,low
20251125,113051.SH,121.003,32192.0,3904.0358,-0.0908,121.113,120.931,121.56,120.913
20251125,123154.SZ,121.012,3992.6,483.0506,0.0984,120.893,120.88,121.307,120.77
20251125,127024.SZ,121.057,36797.0,4471.5947,0.1506,120.875,121.284,122.155,120.88
20251125,123179.SZ,121.083,10062.1,1219.8546,-0.1517,121.267,121.276,121.657,120.851
20251125,127083.SZ,121.151,16290.4,1980.1363,-0.5165,121.78,121.78,122.165,121.085
20251125,113584.SH,121.183,35543.0,4310.7769,-0.3159,121.567,121.577,121.78,120.886
20251125,128128.SZ,121.185,20168.0,2452.5937,-0.4543,121.738,121.747,122.166,121.077
20251125,127030.SZ,121.248,32655.0,3971.4641,-0.2731,121.58,121.58,122.267,121.2
20251125,111009.SH,121.267,14044.0,1702.9789,0.311,120.891,120.891,121.496,120.801
20251125,127068.SZ,121.529,13250.5,1617.2605,0.1657,121.328,121.58,122.783,121.377
20251125,128101.SZ,121.643,24196.0,2939.3864,0.788,120.692,120.873,122.074,120.464
20251125,113650.SH,121.7,15560.0,1896.7216,-0.3814,122.166,122.3,122.3,121.65
20251125,113660.SH,121.783,6827.0,833.0059,-0.087,121.889,121.925,122.238,121.627
20251125,113048.SH,121.911,37875.0,4638.7497,-0.1793,122.13,122.413,123.17,121.85
20251125,113670.SH,122.005,21493.0,2626.0088,0.2984,121.642,121.601,122.715,121.601
20251125,110076.SH,122.054,15346.0,1877.7455,-0.0622,122.13,122.19,122.782,121.886
20251125,123049.SZ,122.18,28633.0,3502.6649,0.095,122.064,122.154,122.823,121.93
20251125,127108.SZ,122.263,62115.9,7615.5027,0.1581,122.07,122.198,123.185,122.0
20251125,113638.SH,122.336,5476.0,669.6862,0.2508,122.03,122.131,122.59,122.03
20251125,127042.SZ,122.478,8137.4,997.8849,0.0065,122.47,122.001,123.01,122.001
20251125,127046.SZ,122.741,9886.9,1214.7456,-0.3936,123.226,123.227,123.394,122.525
20251125,113648.SH,122.9,12733.0,1565.8515,-0.2467,123.204,122.86,123.2,122.539
20251125,113679.SH,122.92,16476.0,2024.656,0.456,122.362,122.363,123.355,122.362
20251125,111014.SH,123.091,13045.0,1603.2581,0.3866,122.617,122.617,123.244,122.564
20251125,118042.SH,123.093,18177.0,2236.5448,0.6114,122.345,122.664,123.357,122.408
20251125,118015.SH,123.233,10959.0,1350.9879,0.4975,122.623,122.699,123.58,122.699
