trade_date,heavy_nav,light_nav,relative_strength,heavy_ret,light_ret,rs_ma20,rs_ma60
2025-07-28,98.854,100.5925,98.27173994085045,-1.1460000000000001,0.5925,,
2025-07-29,99.46491772,101.71662118749998,97.78629742001625,0.618,1.1175,,
2025-07-30,99.77325896493201,101.39367091522966,98.40186085021776,0.30999999999999994,-0.31750000000000006,,
2025-07-31,97.16718144076798,100.92472518724674,96.27688483718202,-2.612,-0.4625,,
2025-08-01,96.85235977289989,101.04835797560112,95.84753450054637,-0.324,0.12249999999999997,,
2025-08-04,97.42959983714637,101.88200692889984,95.62983962922848,0.596,0.825,,
2025-08-05,98.17785916389565,102.44999911752845,95.83002441148693,0.768,0.5575,,
2025-08-06,98.75514497577936,102.9750553630058,95.90200716828897,0.588,0.5125,,
2025-08-07,99.05536061650572,102.86950593125871,96.29224882512632,0.304,-0.10250000000000001,,
2025-08-08,99.81016246440349,101.7353696283666,98.10763240847723,0.7619999999999999,-1.1025,,
2025-08-11,99.90198781387075,103.22324940918148,96.78244812644378,0.09200000000000001,1.4625,,
2025-08-12,99.85803093923265,103.81162193081381,96.19157188949801,-0.044,0.57,,
2025-08-13,100.14562206833763,105.25719876620039,95.1437272150699,0.288,1.3925,,
2025-08-14,98.82970859435967,104.32304112715036,94.7343056016788,-1.314,-0.8875,,
2025-08-15,99.7369653192559,105.90353520022668,94.1771822165219,0.9179999999999999,1.515,,
2025-08-18,100.11596578746907,108.31813580279184,92.42770386091581,0.38,2.2800000000000002,,
2025-08-19,99.98581503194536,108.03921660309965,92.54585341844914,-0.13,-0.2575,,
2025-08-20,100.59572850364023,108.98996170920692,92.29815932226573,0.6100000000000001,0.88,,
2025-08-21,101.00012333222486,109.12619916134344,92.553506040191,0.40199999999999997,0.12499999999999999,,
2025-08-22,101.27686367015517,111.99349004430775,90.43102740175988,0.274,2.6275000000000004,95.28157775421074,
2025-08-25,103.51710789453898,113.87218083980099,90.90640675457875,2.2119999999999997,1.6775,94.91331109489715,
2025-08-26,103.2458930718553,114.07999756983362,90.50306387730569,-0.262,0.1825,94.54914941776164,
2025-08-27,101.30900011782728,112.15774961078193,90.3272403997024,-1.8760000000000001,-1.685,94.14541839523585,
2025-08-28,101.45691125799931,114.43455192788082,88.65933369664408,0.146,2.03,93.76454083820896,
2025-08-29,101.75722371532301,114.24001318960342,89.07318974695599,0.29600000000000004,-0.17,93.42582360052944,
2025-09-01,102.71781190719564,115.81938137194969,88.68793002556382,0.944,1.3825,93.0787281203462,
2025-09-02,102.2761253159947,112.66619871409837,90.77800305975575,-0.43,-2.7224999999999997,92.82612705275965,
2025-09-03,100.88312448919086,111.50855352231102,90.47119821979021,-1.3619999999999999,-1.0275,92.55458660533472,
2025-09-04,99.85008129442154,107.98767094484406,92.46433451224364,-1.024,-3.1574999999999998,92.36319088969057,
2025-09-05,101.58347870569271,111.04642172435675,91.47838996365567,1.736,2.8325,92.0317287674495,
2025-09-08,102.49976168361805,112.301246289842,91.27214974896451,0.9019999999999999,1.13,91.75621384857553,
2025-09-09,102.47311174558031,110.42862300795888,92.79578876773172,-0.026000000000000002,-1.6675,91.58642469248721,
2025-09-10,101.87876769745594,111.48321635768488,91.38484789547707,-0.5800000000000001,0.9549999999999998,91.39848072650759,
2025-09-11,102.97294566252661,114.38177998298468,90.02565415387377,1.074,2.6,91.16304815411732,
2025-09-12,103.82556165261234,114.78783530192428,90.44996917968,0.8280000000000001,0.355,90.97668750227523,
2025-09-15,103.88578047837085,115.27568360195745,90.11942261568753,0.05799999999999996,0.425,90.86127344001382,
2025-09-16,103.81306043203597,116.28722772556463,89.27296871934428,-0.07000000000000003,0.8775,90.69762920505858,
2025-09-17,104.38403226441217,116.92680747805524,89.27296871934429,0.55,0.55,90.54636967491251,
2025-09-18,102.27338713202576,116.03231740084811,88.14215679129254,-2.0220000000000002,-0.765,90.32580221246758,
2025-09-19,102.71929909992139,115.26360329806751,89.11685576434132,0.43599999999999994,-0.6624999999999999,90.26009363059664,
2025-09-22,102.38854295681965,116.58913473599529,87.81996983566994,-0.322,1.1500000000000001,90.10577178465121,
2025-09-23,102.09161618224488,115.09096435463775,88.70515314100847,-0.29,-1.285,90.01587624783635,
2025-09-24,102.66537106518909,117.82437475806037,87.13423795034036,0.562,2.375,89.85622612536824,
2025-09-25,102.67358429487432,118.97316241195146,86.2997857780405,0.00800000000000003,0.975,89.73824872943807,
2025-09-26,102.679744709932,115.82334793709504,88.65202615771263,0.005999999999999983,-2.6475,89.71719054997591,
2025-09-29,103.99199184732493,116.7209788836075,89.09451654875535,1.278,0.775,89.73751987613548,
2025-09-30,105.04023112514598,117.82982818300178,89.14570507733217,1.0079999999999998,0.95,89.6559049770143,
2025-10-09,108.97923979233897,118.66936570880569,91.8343492791184,3.75,0.7125000000000001,89.7240625299807,
2025-10-10,109.13181072804825,115.04995005468712,94.85602616617759,0.13999999999999996,-3.05,89.8436471126774,
2025-10-13,109.98958676037071,114.23309540929884,96.2852195909394,0.7859999999999999,-0.71,90.08398859404159,
2025-10-14,109.67281675050084,111.16308097017394,98.65938924446243,-0.288,-2.6875,90.45335056881649,
2025-10-15,110.38788351571411,112.96114380486651,97.72199519013587,0.652,1.6175000000000002,90.6996608899367,
2025-10-16,109.73880276064172,112.16194371244708,97.83960506424742,-0.588,-0.7075,91.02239874837521,
2025-10-17,108.4351057838453,108.86999066448675,99.60054659875772,-1.1880000000000002,-2.9349999999999996,91.50114337061942,
2025-10-20,109.02933016354078,109.7055678428367,99.38358855198244,0.5479999999999999,0.7675,91.94782433923453,
2025-10-21,109.96916298955051,111.8174000238113,98.34709353475648,0.8620000000000001,1.925,92.35920788518798,
2025-10-22,109.34893691028944,111.54065195875238,98.03505268260989,-0.5640000000000001,-0.24750000000000003,92.79731208335126,
2025-10-23,110.26309402285945,111.57969118693796,98.82003870948817,0.836,0.035,93.27466558285845,
2025-10-24,109.96097314523684,113.47375644483621,96.90432095520953,-0.274,1.6974999999999998,93.71277379105432,
2025-10-27,111.38606735719911,114.5971466336401,97.19794133556692,1.296,0.99,94.1168280696156,93.21949981814099
2025-10-28,110.03161277813558,114.19605662042235,96.35325074653933,-1.216,-0.35,94.54349211515905,93.18752499823582
2025-10-29,111.67988633755206,115.11533487621675,97.01564648849016,1.498,0.8049999999999999,94.95901678253314,93.17468081604372
2025-10-30,111.9657868465762,113.08642709902344,99.00904088917235,0.25599999999999995,-1.7625,95.55275692947474,93.18480048335961
2025-10-31,110.85508624105816,113.90064937413642,97.32612311710857,-0.992,0.72,96.10407379642814,93.20228778802506
2025-11-03,111.95698579829427,115.05104593281519,97.31070664379034,0.9940000000000001,1.01,96.53700782073203,93.22667399041246
2025-11-04,111.25389592748098,113.59565020176507,97.93851765439545,-0.628,-1.265,96.97920787601403,93.26515195749857
2025-11-05,112.13057662738954,113.12422825342776,99.12162792941918,0.7879999999999999,-0.415,97.47800401861838,93.32001201613078
2025-11-06,113.64433941185932,113.78034877729763,99.88046321979157,1.35,0.58,97.88030971565205,93.38631961698916
2025-11-07,113.77616684557708,112.53160944946681,101.10596249551477,0.11600000000000002,-1.0975,98.19280653211891,93.4665481781623
2025-11-10,114.0219233659635,112.9310966630124,100.96592235016202,0.21600000000000003,0.355,98.42684167008004,93.51418634385703
2025-11-11,113.67985759586561,111.88083746404638,101.60797878581967,-0.3,-0.9299999999999999,98.5742711471479,93.59461185484663
2025-11-12,113.15465665377272,111.59274430757647,101.39965403296405,-0.462,-0.2575,98.7581540892893,93.68141322390441
2025-11-13,114.72750638126014,112.7951561274906,101.71315003242287,1.39,1.0775000000000001,98.95183133769807,93.79090360419362
2025-11-14,113.96801028901622,110.84661980538819,102.81595459483404,-0.662,-1.7275,99.11260173750188,93.92559775407955
2025-11-17,113.94977540736997,110.92144127375683,102.73016118330011,-0.01599999999999997,0.06749999999999998,99.27993036906777,94.06814740352586
2025-11-18,111.41781139781821,111.41781472345689,99.99999701516433,-2.222,0.4475,99.36257554308817,94.19435228942999
2025-11-19,111.64956044552568,109.938743233003,101.55615496613126,0.20799999999999996,-1.3275,99.53863065726424,94.34452398189136
2025-11-20,110.93723624988321,109.08396950436638,101.69893592425848,-0.638,-0.7775,99.68257551800275,94.50120359192458
2025-11-21,107.13652653596222,106.19597141173828,100.88567872370342,-3.4259999999999997,-2.6475,99.88164340642744,94.64007313664978
2025-11-24,106.977964476689,108.26413795498189,98.81200413859324,-0.148,1.9475000000000002,99.96234654657876,94.77975608226367
2025-11-25,108.01779029140239,110.17770659333621,98.03960676917515,0.9719999999999999,1.7675,100.04666434771056,94.8986427491736
