date,close,ticker,name,theme
2025-03-05,3902.570068359375,000300.SS,🇨🇳 沪深300,基准指数
2025-03-06,3956.239990234375,000300.SS,🇨🇳 沪深300,基准指数
2025-03-07,3944.010009765625,000300.SS,🇨🇳 沪深300,基准指数
2025-03-10,3928.800048828125,000300.SS,🇨🇳 沪深300,基准指数
2025-03-11,3941.419921875,000300.SS,🇨🇳 沪深300,基准指数
2025-03-12,3927.22998046875,000300.SS,🇨🇳 沪深300,基准指数
2025-03-13,3911.580078125,000300.SS,🇨🇳 沪深300,基准指数
2025-03-14,4006.56005859375,000300.SS,🇨🇳 沪深300,基准指数
2025-03-17,3996.7900390625,000300.SS,🇨🇳 沪深300,基准指数
2025-03-18,4007.719970703125,000300.SS,🇨🇳 沪深300,基准指数
2025-03-19,4010.169921875,000300.SS,🇨🇳 沪深300,基准指数
2025-03-20,3974.989990234375,000300.SS,🇨🇳 沪深300,基准指数
2025-03-21,3914.699951171875,000300.SS,🇨🇳 沪深300,基准指数
2025-03-24,3934.85009765625,000300.SS,🇨🇳 沪深300,基准指数
2025-03-25,3932.300048828125,000300.SS,🇨🇳 沪深300,基准指数
2025-03-26,3919.360107421875,000300.SS,🇨🇳 沪深300,基准指数
2025-03-27,3932.409912109375,000300.SS,🇨🇳 沪深300,基准指数
2025-03-28,3915.169921875,000300.SS,🇨🇳 沪深300,基准指数
2025-03-31,3887.31005859375,000300.SS,🇨🇳 沪深300,基准指数
2025-04-01,3887.679931640625,000300.SS,🇨🇳 沪深300,基准指数
2025-04-02,3884.389892578125,000300.SS,🇨🇳 沪深300,基准指数
2025-04-03,3861.5,000300.SS,🇨🇳 沪深300,基准指数
2025-04-07,3589.43994140625,000300.SS,🇨🇳 沪深300,基准指数
2025-04-08,3650.760009765625,000300.SS,🇨🇳 沪深300,基准指数
2025-04-09,3686.7900390625,000300.SS,🇨🇳 沪深300,基准指数
2025-04-10,3735.1201171875,000300.SS,🇨🇳 沪深300,基准指数
2025-04-11,3750.52001953125,000300.SS,🇨🇳 沪深300,基准指数
2025-04-14,3759.139892578125,000300.SS,🇨🇳 沪深300,基准指数
2025-04-15,3761.22998046875,000300.SS,🇨🇳 沪深300,基准指数
2025-04-16,3772.820068359375,000300.SS,🇨🇳 沪深300,基准指数
2025-04-17,3772.219970703125,000300.SS,🇨🇳 沪深300,基准指数
2025-04-18,3772.52001953125,000300.SS,🇨🇳 沪深300,基准指数
2025-04-21,3784.8798828125,000300.SS,🇨🇳 沪深300,基准指数
2025-04-22,3783.949951171875,000300.SS,🇨🇳 沪深300,基准指数
2025-04-23,3786.8798828125,000300.SS,🇨🇳 沪深300,基准指数
2025-04-24,3784.360107421875,000300.SS,🇨🇳 沪深300,基准指数
2025-04-25,3786.989990234375,000300.SS,🇨🇳 沪深300,基准指数
2025-04-28,3781.6201171875,000300.SS,🇨🇳 沪深300,基准指数
2025-04-29,3775.080078125,000300.SS,🇨🇳 沪深300,基准指数
2025-04-30,3770.570068359375,000300.SS,🇨🇳 沪深300,基准指数
2025-05-06,3808.5400390625,000300.SS,🇨🇳 沪深300,基准指数
2025-05-07,3831.6298828125,000300.SS,🇨🇳 沪深300,基准指数
2025-05-08,3852.89990234375,000300.SS,🇨🇳 沪深300,基准指数
2025-05-09,3846.159912109375,000300.SS,🇨🇳 沪深300,基准指数
2025-05-12,3890.610107421875,000300.SS,🇨🇳 沪深300,基准指数
2025-05-13,3896.260009765625,000300.SS,🇨🇳 沪深300,基准指数
2025-05-14,3943.2099609375,000300.SS,🇨🇳 沪深300,基准指数
2025-05-15,3907.199951171875,000300.SS,🇨🇳 沪深300,基准指数
2025-05-16,3889.090087890625,000300.SS,🇨🇳 沪深300,基准指数
2025-05-19,3877.14990234375,000300.SS,🇨🇳 沪深300,基准指数
2025-05-20,3898.169921875,000300.SS,🇨🇳 沪深300,基准指数
2025-05-21,3916.3798828125,000300.SS,🇨🇳 沪深300,基准指数
2025-05-22,3913.8701171875,000300.SS,🇨🇳 沪深300,基准指数
2025-05-23,3882.27001953125,000300.SS,🇨🇳 沪深300,基准指数
2025-05-26,3860.110107421875,000300.SS,🇨🇳 沪深300,基准指数
2025-05-27,3839.39990234375,000300.SS,🇨🇳 沪深300,基准指数
2025-05-28,3836.239990234375,000300.SS,🇨🇳 沪深300,基准指数
2025-05-29,3858.699951171875,000300.SS,🇨🇳 沪深300,基准指数
2025-05-30,3840.22998046875,000300.SS,🇨🇳 沪深300,基准指数
2025-06-03,3852.010009765625,000300.SS,🇨🇳 沪深300,基准指数
2025-06-04,3868.739990234375,000300.SS,🇨🇳 沪深300,基准指数
