trade_date,heavy_nav,light_nav,relative_strength,rs_ma20,rs_ma60
2025-08-11,99.5747921546841,100.04970296159587,99.52532512056126,,
2025-08-12,100.39959872599343,101.36465854008578,99.04793265424881,,
2025-08-13,101.33071116785825,102.33507569741458,99.01855300080489,,
2025-08-14,100.63176653846631,102.40180440506738,98.27147785443371,,
2025-08-15,100.44083267813892,102.64641322783999,97.85128337138732,,
2025-08-18,100.12858573382925,102.5860956807009,97.60444148832738,,
2025-08-19,100.59524120193919,102.14545157151578,98.48235007459806,,
2025-08-20,100.83403943904929,101.78106909589488,99.06954243528988,,
2025-08-21,100.82142678044958,101.42239202778936,99.40746295238718,,
2025-08-22,102.40969702542031,103.12313730084716,99.30816663059282,,
2025-08-25,101.78117691941057,102.68212813464137,99.1225822530193,,
2025-08-26,102.13291952690349,102.96749410621385,99.18947762441468,,
2025-08-27,102.49453289759344,103.14189199023222,99.372360657588,,
2025-08-28,102.54100262301691,103.38627875901012,99.18240974901174,,
2025-08-29,102.3869521157239,102.86103726608961,99.53910133227676,,
2025-09-02,101.89689950135713,102.38751858374708,99.52082139583385,,
2025-09-03,100.94095555530158,102.9549921913804,98.04376981318694,,
2025-09-04,101.46916703984637,103.88936472365403,97.67040862147401,,
2025-09-05,100.9716481858407,104.13600200939936,96.96132580231664,,
2025-09-08,100.72928335932873,104.45353633828756,96.43453624499863,98.6311664538376,
2025-09-09,100.44355218981545,104.75875673522876,95.88081733699865,98.44894106465946,
2025-09-10,101.57056035664613,104.484304545798,97.21130919919679,98.35710989190686,
2025-09-11,102.49827098323159,105.94977015908671,96.74232499922124,98.24329849182769,
2025-09-12,102.00648351984634,105.98371444016688,96.24731880616821,98.1420905394144,
2025-09-15,101.88903203652917,106.60124534675694,95.57958887356364,98.02850581452323,
2025-09-16,101.69781459269433,106.56446816471062,95.43313671448706,97.91994057583119,
2025-09-17,101.76665430570864,106.52828984230567,95.53016804865102,97.77233147453384,
2025-09-18,101.97788700771811,106.94305317712747,95.3571868186841,97.58671369370356,
2025-09-19,101.84866605692595,107.39276355540169,94.83755020829159,97.35821805649877,
2025-09-22,102.14614555572122,107.59983917949702,94.93150392662018,97.13938492130015,
2025-09-23,102.6515338330172,107.13570396105752,95.8144951101733,96.97398056415786,
2025-09-24,102.72681588039676,106.82812648062838,96.1608326052827,96.82254831320125,
2025-09-25,102.1971967114925,105.86463169169474,96.5357316021438,96.68071686042904,
2025-09-26,103.38962197474058,106.86966640338078,96.74365557060436,96.55877915150867,
2025-09-29,103.16238312059227,107.29636423533493,96.14713774860485,96.38918097232508,
2025-09-30,103.25724856147625,107.92836549508151,95.67202105565275,96.19674095531602,
